,Title,Author,Published,Link
0,Cross-Layer Multipath Multichannel MAC protocol for MANETs,"Abdelshafy, M.",Jun 2018,https://pureportal.coventry.ac.uk/en/publications/cross-layer-multipath-multichannel-mac-protocol-for-manets
1,Performance evaluation of Receiver Directed Transmission protocol with a single transceiver in MANETs,"Abdelshafy, M.",4 May 2017,https://pureportal.coventry.ac.uk/en/publications/performance-evaluation-of-receiver-directed-transmission-protocol
2,Reliable Multipath Multi-channel Route Migration over Multi Link-Failure in Wireless Ad Hoc Networks,"Abdelshafy, M.",23 Nov 2017,https://pureportal.coventry.ac.uk/en/publications/reliable-multipath-multi-channel-route-migration-over-multi-link-
3,Resisting blackhole attacks on MANETs,"Abdelshafy, M.",Jan 2016,https://pureportal.coventry.ac.uk/en/publications/resisting-blackhole-attacks-on-manets
4,Dynamic Source Routing under Attacks,"Abdelshafy, M.",12 Oct 2015,https://pureportal.coventry.ac.uk/en/publications/dynamic-source-routing-under-attacks
5,AODV & SAODV under Attack: Performance Comparison,"Abdelshafy, M.",Jun 2014,https://pureportal.coventry.ac.uk/en/publications/aodv-amp-saodv-under-attack-performance-comparison
6,AODV Routing Protocol Performance Analysis under MANET Attacks,"Abdelshafy, M.",Jun 2014,https://pureportal.coventry.ac.uk/en/publications/aodv-routing-protocol-performance-analysis-under-manet-attacks
7,Resisting flooding attacks on AODV,"Abdelshafy, M.",Nov 2014,https://pureportal.coventry.ac.uk/en/publications/resisting-flooding-attacks-on-aodv
8,Analysis of security attacks on AODV routing,"Abdelshafy, M.",Dec 2013,https://pureportal.coventry.ac.uk/en/publications/analysis-of-security-attacks-on-aodv-routing
9,Analysis and Evaluations of Wireless LANs Security Protocols,"Abdelshafy, M.",Nov 2002,https://pureportal.coventry.ac.uk/en/publications/analysis-and-evaluations-of-wireless-lans-security-protocols
10,An Active Attack on Token-Based Security Protocol,"Abdelshafy, M.",Apr 2001,https://pureportal.coventry.ac.uk/en/publications/an-active-attack-on-token-based-security-protocol
11,A New Attack on Aziz-Diffie Security Protocol,"Abdelshafy, M.",Mar 2001,https://pureportal.coventry.ac.uk/en/publications/a-new-attack-on-aziz-diffie-security-protocol
12,Impact of Vehicle Headlights Radiation Pattern on Dynamic Vehicular VLC Channel,"Al-Sallami, F. M. Y.",15 May 2021,https://pureportal.coventry.ac.uk/en/publications/impact-of-vehicle-headlights-radiation-pattern-on-dynamic-vehicul
13,Statistical channel modelling of dynamic vehicular visible light communication system,"Al-Sallami, F. M. Y.",Jun 2021,https://pureportal.coventry.ac.uk/en/publications/statistical-channel-modelling-of-dynamic-vehicular-visible-light-
14,LDPC-Coded CAP with Spatial Diversity for UVLC Systems over Generalized-Gamma Fading Channel,"Ahmad, Z.",15 Jun 2020,https://pureportal.coventry.ac.uk/en/publications/ldpc-coded-cap-with-spatial-diversity-for-uvlc-systems-over-gener
15,Performance of Spatial Diversity DCO-OFDM in a Weak Turbulence Underwater Visible Light Communication Channel,"Ahmad, Z.",15 Apr 2020,https://pureportal.coventry.ac.uk/en/publications/performance-of-spatial-diversity-dco-ofdm-in-a-weak-turbulence-un
16,Precision Indoor Three-Dimensional Visible Light Positioning Using Receiver Diversity and Multilayer Perceptron Neural Network,"Mahmoud, A. A.",1 Dec 2020,https://pureportal.coventry.ac.uk/en/publications/precision-indoor-three-dimensional-visible-light-positioning-usin
17,对数正态分布衰落下的光OFDM 水下可见光通信空间分集系统,"Ahmad, Z.",25 Feb 2020,https://pureportal.coventry.ac.uk/en/publications/optical-ofdm-spatial-diversity-system-in-lognormal-fading-uvlc-ch
18,Indoor Intruder Tracking Using Visible Light Communications,"Al Sallami, F. M. Y.",21 Oct 2019,https://pureportal.coventry.ac.uk/en/publications/indoor-intruder-tracking-using-visible-light-communications
19,Optical spatial diversity for FSO communications,"Rajbhandari, S.",Jun 2019,https://pureportal.coventry.ac.uk/en/publications/optical-spatial-diversity-for-fso-communications
20,Regular-Shaped Geometry-Based Stochastic Model for Vehicle-to-Vehicle Visible Light Communication Channel,"Al Sallami, F. M. Y.",16 May 2019,https://pureportal.coventry.ac.uk/en/publications/regular-shaped-geometry-based-stochastic-model-for-vehicle-to-veh
21,Reducing Noise Pollution of Emergency Vehicle Sirens with an Early Warning System,"Ahmad, Z.",2018,https://pureportal.coventry.ac.uk/en/publications/reducing-noise-pollution-of-emergency-vehicle-sirens-with-an-earl
22,Scattering regimes for underwater optical wireless communications using Monte Carlo simulation,"Ahmad, Z.",2018,https://pureportal.coventry.ac.uk/en/publications/scattering-regimes-for-underwater-optical-wireless-communications
23,Demonstration of a multi-hop underwater visible light communication system,"Ahmad, Z.",4 Sep 2017,https://pureportal.coventry.ac.uk/en/publications/demonstration-of-a-multi-hop-underwater-visible-light-communicati
24,Design of a visible light communication system for deep sea divers based on analogue frequency modulation,"Ahmad, Z.",22 Sep 2016,https://pureportal.coventry.ac.uk/en/publications/design-of-a-visible-light-communication-system-for-deep-sea-diver-2
25,QoS within Business Grid Quality of Service (BGQoS),"Al Bodour, R.",Sep 2015,https://pureportal.coventry.ac.uk/en/publications/qos-within-business-grid-quality-of-service-bgqos-2
26,High level QoS-driven model for Grid applications in a simulated environment,"Al-Bodour, R.",Jul 2012,https://pureportal.coventry.ac.uk/en/publications/high-level-qos-driven-model-for-grid-applications-in-a-simulated--2
27,An extension of GridSim for quality of service,"Al Bodour, R.",14 Apr 2010,https://pureportal.coventry.ac.uk/en/publications/an-extension-of-gridsim-for-quality-of-service
28,A New Method for Semi-Supervised Segmentation of Satellite Images,"Sharifzadeh, S.",Mar 2021,https://pureportal.coventry.ac.uk/en/publications/a-new-method-for-semi-supervised-segmentation-of-satellite-images
29,FPGA-Based Processor Acceleration for Image Processing Applications,"Amiri, S.",13 Jan 2019,https://pureportal.coventry.ac.uk/en/publications/fpga-based-processor-acceleration-for-image-processing-applicatio
30,Simultaneous multiprocessing in a software-defined heterogeneous FPGA,"Amiri, S.",Aug 2019,https://pureportal.coventry.ac.uk/en/publications/simultaneous-multiprocessing-in-a-software-defined-heterogeneous-
31,Correction to: Simultaneous multiprocessing in a software-defined heterogeneous FPGA,"Amiri, S.",25 May 2018,https://pureportal.coventry.ac.uk/en/publications/correction-to-simultaneous-multiprocessing-in-a-software-defined-
32,Multi-precision convolutional neural networks on heterogeneous hardware,"Amiri, S.",Mar 2018,https://pureportal.coventry.ac.uk/en/publications/multi-precision-convolutional-neural-networks-on-heterogeneous-ha
33,Programmable Architectures for Histogram of Oriented Gradients Processing,"Amiri, M.",13 Oct 2018,https://pureportal.coventry.ac.uk/en/publications/programmable-architectures-for-histogram-of-oriented-gradients-pr
